球員,位置,攻擊得分,攔網得分,發球得分,接發,防守,舉球,總得分,match_id,隊伍類型,球員名稱
曾祥銘 #14,MiddleBlocker,7,0,3,0,1,1,10,6067,主隊,曾祥銘
陳冠中 #21,MiddleBlocker,0,1,1,2,1,0,2,6067,主隊,陳冠中
趙宇陽 #7,Setter,0,0,0,0,5,41,0,6067,主隊,趙宇陽
簡顯銘 #10,Libero,0,0,0,5,2,0,0,6067,主隊,簡顯銘
楊子頡 #11,OutsideHitter,0,0,0,0,0,0,0,6067,主隊,楊子頡
郭宇祥 #12,Setter,0,0,0,0,0,0,0,6067,主隊,郭宇祥
范鍾坪圻 #18,Libero,0,0,0,0,2,1,0,6067,主隊,范鍾坪圻
劉少宇 #20,Setter,0,0,0,0,0,0,0,6067,主隊,劉少宇
洪榮發 #99,OppositeHitter,0,0,0,0,0,0,0,6067,主隊,洪榮發
安德烈 #5,MiddleBlocker,0,0,0,0,0,0,0,6067,主隊,安德烈
申承勳 #6,Setter,0,0,0,0,0,0,0,6067,主隊,申承勳
陳冠銘 #4,OppositeHitter,0,0,0,0,0,0,0,6067,主隊,陳冠銘
劉鴻敏 #7,OutsideHitter,20,2,0,8,4,1,22,6068,客隊,劉鴻敏
許美中 #56,MiddleBlocker,10,3,1,9,6,1,14,6068,客隊,許美中
豹爾文 #27,OppositeHitter,7,2,3,0,3,1,12,6068,客隊,豹爾文
李權紘 #66,OppositeHitter,4,2,0,0,0,0,6,6068,客隊,李權紘
高得益 #12,Setter,0,1,1,0,1,32,2,6068,客隊,高得益
陳政錡 #4,MiddleBlocker,1,0,0,0,0,0,1,6068,客隊,陳政錡
李尼希米 #1,OutsideHitter,0,0,0,0,0,0,0,6068,客隊,李尼希米
黃仁威 #20,Setter,0,0,0,0,0,0,0,6068,客隊,黃仁威
鄭玉森 #16,Libero,0,0,0,7,5,2,0,6068,客隊,鄭玉森
甘茂宏 #9,MiddleBlocker,0,0,0,0,0,0,0,6068,客隊,甘茂宏
阿薩力 #99,OutsideHitter,0,0,0,0,0,0,0,6068,客隊,阿薩力
洪𤋮鈞 #8,OppositeHitter,0,0,0,0,0,0,0,6068,客隊,洪𤋮鈞
花村和哉 #14,OutsideHitter,0,0,0,0,0,0,0,6068,客隊,花村和哉
利安 #10,OppositeHitter,0,0,0,0,0,0,0,6068,客隊,利安
穆多 #15,MiddleBlocker,0,0,0,0,0,0,0,6068,客隊,穆多
劉博元 #5,OutsideHitter,0,0,0,0,0,0,0,6068,客隊,劉博元
黃意凱 #32,Libero,0,0,0,0,0,0,0,6068,客隊,黃意凱
雷貝洛 #8,OutsideHitter,12,2,2,6,4,0,16,6068,主隊,雷貝洛
高偉誠 #9,OppositeHitter,13,0,0,0,1,2,13,6068,主隊,高偉誠
曾祥銘 #14,MiddleBlocker,3,2,2,0,2,0,7,6068,主隊,曾祥銘
楊子頡 #11,OutsideHitter,4,0,0,3,1,0,4,6068,主隊,楊子頡
哈雷 #3,OutsideHitter,2,0,0,5,3,0,2,6068,主隊,哈雷
安德烈 #5,MiddleBlocker,1,1,0,0,0,0,2,6068,主隊,安德烈
陳冠中 #21,MiddleBlocker,1,0,0,0,0,0,1,6068,主隊,陳冠中
趙宇陽 #7,Setter,0,0,0,0,2,15,0,6068,主隊,趙宇陽
簡顯銘 #10,Libero,0,0,0,3,1,2,0,6068,主隊,簡顯銘
郭宇祥 #12,Setter,0,0,0,0,1,19,0,6068,主隊,郭宇祥
范鍾坪圻 #18,Libero,0,0,0,0,2,1,0,6068,主隊,范鍾坪圻
劉少宇 #20,Setter,0,0,0,0,0,0,0,6068,主隊,劉少宇
洪榮發 #99,OppositeHitter,0,0,0,0,0,0,0,6068,主隊,洪榮發
申承勳 #6,Setter,0,0,0,0,0,0,0,6068,主隊,申承勳
陳冠銘 #4,OppositeHitter,0,0,0,0,0,0,0,6068,主隊,陳冠銘
陳建禎 #19,OutsideHitter,18,2,0,8,5,1,20,6069,客隊,陳建禎
睿克 #14,OutsideHitter,16,2,0,5,3,0,18,6069,客隊,睿克
